0,0,16,16,43,0,16,16
16,0,16,16,43,0,16,16
32,0,16,16,43,0,16,16
48,0,16,16,43,0,16,16
64,0,16,16,43,0,16,16
80,0,16,16,43,0,16,16
96,0,16,16,43,0,16,16
112,0,16,16,43,0,16,16
128,0,16,16,43,0,16,16
144,0,16,16,43,0,16,16
160,0,16,16,43,0,16,16
176,0,16,16,43,0,16,16
192,0,16,16,43,0,16,16
208,0,16,16,43,0,16,16
224,0,16,16,43,0,16,16
240,0,16,16,43,0,16,16
0,16,16,16,43,0,16,16
16,16,16,16,21,0,16,16
32,16,16,16,0,0,16,16
48,16,16,16,0,0,16,16
64,16,16,16,21,0,16,16
80,16,16,16,21,0,16,16
96,16,16,16,21,0,16,16
112,16,16,16,21,0,16,16
128,16,16,16,21,0,16,16
144,16,16,16,21,0,16,16
160,16,16,16,21,0,16,16
176,16,16,16,21,0,16,16
192,16,16,16,21,0,16,16
208,16,16,16,0,0,16,16
224,16,16,16,21,0,16,16
240,16,16,16,43,0,16,16
0,32,16,16,43,0,16,16
16,32,16,16,0,0,16,16
32,32,16,16,21,0,16,16
48,32,16,16,21,0,16,16
64,32,16,16,21,0,16,16
80,32,16,16,0,0,16,16
96,32,16,16,21,0,16,16
112,32,16,16,21,0,16,16
128,32,16,16,21,0,16,16
144,32,16,16,21,0,16,16
160,32,16,16,21,0,16,16
176,32,16,16,21,0,16,16
192,32,16,16,21,0,16,16
208,32,16,16,0,0,16,16
224,32,16,16,21,0,16,16
240,32,16,16,43,0,16,16
0,48,16,16,43,0,16,16
16,48,16,16,0,0,16,16
32,48,16,16,21,0,16,16
48,48,16,16,21,0,16,16
64,48,16,16,21,0,16,16
80,48,16,16,21,0,16,16
96,48,16,16,21,0,16,16
112,48,16,16,21,0,16,16
128,48,16,16,21,0,16,16
144,48,16,16,21,0,16,16
160,48,16,16,21,0,16,16
176,48,16,16,0,0,16,16
192,48,16,16,21,0,16,16
208,48,16,16,21,0,16,16
224,48,16,16,21,0,16,16
240,48,16,16,43,0,16,16
0,64,16,16,43,0,16,16
16,64,16,16,21,0,16,16
32,64,16,16,21,0,16,16
48,64,16,16,21,0,16,16
64,64,16,16,21,0,16,16
80,64,16,16,21,0,16,16
96,64,16,16,21,0,16,16
112,64,16,16,21,0,16,16
128,64,16,16,21,0,16,16
144,64,16,16,21,0,16,16
160,64,16,16,21,0,16,16
176,64,16,16,0,0,16,16
192,64,16,16,21,0,16,16
208,64,16,16,21,0,16,16
224,64,16,16,21,0,16,16
240,64,16,16,43,0,16,16
0,80,16,16,43,0,16,16
16,80,16,16,21,0,16,16
32,80,16,16,21,0,16,16
48,80,16,16,0,0,16,16
64,80,16,16,21,0,16,16
80,80,16,16,21,0,16,16
96,80,16,16,21,0,16,16
112,80,16,16,21,0,16,16
128,80,16,16,21,0,16,16
144,80,16,16,21,0,16,16
160,80,16,16,21,0,16,16
176,80,16,16,21,0,16,16
192,80,16,16,21,0,16,16
208,80,16,16,21,0,16,16
224,80,16,16,21,0,16,16
240,80,16,16,43,0,16,16
0,96,16,16,43,0,16,16
16,96,16,16,21,0,16,16
32,96,16,16,21,0,16,16
48,96,16,16,21,0,16,16
64,96,16,16,21,0,16,16
80,96,16,16,21,0,16,16
96,96,16,16,21,0,16,16
112,96,16,16,21,0,16,16
128,96,16,16,21,0,16,16
144,96,16,16,21,0,16,16
160,96,16,16,0,0,16,16
176,96,16,16,21,0,16,16
192,96,16,16,21,0,16,16
208,96,16,16,21,0,16,16
224,96,16,16,21,0,16,16
240,96,16,16,43,0,16,16
0,112,16,16,43,0,16,16
16,112,16,16,21,0,16,16
32,112,16,16,21,0,16,16
48,112,16,16,21,0,16,16
64,112,16,16,21,0,16,16
80,112,16,16,21,0,16,16
96,112,16,16,21,0,16,16
112,112,16,16,21,0,16,16
128,112,16,16,21,0,16,16
144,112,16,16,21,0,16,16
160,112,16,16,21,0,16,16
176,112,16,16,21,0,16,16
192,112,16,16,21,0,16,16
208,112,16,16,21,0,16,16
224,112,16,16,21,0,16,16
240,112,16,16,43,0,16,16
0,128,16,16,43,0,16,16
16,128,16,16,21,0,16,16
32,128,16,16,21,0,16,16
48,128,16,16,21,0,16,16
64,128,16,16,21,0,16,16
80,128,16,16,21,0,16,16
96,128,16,16,21,0,16,16
112,128,16,16,21,0,16,16
128,128,16,16,21,0,16,16
144,128,16,16,21,0,16,16
160,128,16,16,21,0,16,16
176,128,16,16,21,0,16,16
192,128,16,16,21,0,16,16
208,128,16,16,21,0,16,16
224,128,16,16,21,0,16,16
240,128,16,16,43,0,16,16
0,144,16,16,43,0,16,16
16,144,16,16,43,0,16,16
32,144,16,16,43,0,16,16
48,144,16,16,43,0,16,16
64,144,16,16,43,0,16,16
80,144,16,16,43,0,16,16
96,144,16,16,43,0,16,16
112,144,16,16,43,0,16,16
128,144,16,16,43,0,16,16
144,144,16,16,43,0,16,16
160,144,16,16,43,0,16,16
176,144,16,16,43,0,16,16
192,144,16,16,43,0,16,16
208,144,16,16,43,0,16,16
224,144,16,16,43,0,16,16
240,144,16,16,43,0,16,16
